x y1 y1_err y2 y2_err
2.07 0.035050000000000005 0.00247330791455002 0.05077222222222223 0.0034301156156373892
2.1 0.034155555555555564 0.002378820370893618 0.049705555555555545 0.003333579008523454
2.13 0.033122222222222227 0.002273899596824492 0.04837777777777777 0.003234033809485545
2.16 0.03212777777777779 0.0022230331618276586 0.047116666666666675 0.0031457064771568998
2.19 0.031205555555555556 0.002172635435914815 0.0458888888888889 0.0030600155773707802
2.22 0.03040555555555555 0.002150374668688112 0.04491666666666669 0.0030265266338097992
2.25 0.029544444444444446 0.002142212669255333 0.04372222222222224 0.0030049986256076295
2.28 0.028816666666666657 0.0020890174811162517 0.042750000000000024 0.0029497744282660377
2.31 0.0282 0.0020325536463209597 0.04189444444444445 0.0028945311950448332
2.34 0.027455555555555556 0.002010580404636186 0.04083888888888889 0.0028563262422957366
