x, oracle, model
-0.855597902797914, -0.459012105569961, -0.452220540100572
-0.854399946603277, -0.456306400501199, -0.449495174719945
-0.853858503139321, -0.455086979623299, -0.448268858073252
-0.853743559283731, -0.454828385777051, -0.448008957288702
-0.853570115887752, -0.454438367953091, -0.447617070715437
-0.853016653892463, -0.453195297700028, -0.44636886254521
-0.85291111362835, -0.452958512074152, -0.446131238834952
-0.852695376165689, -0.452474748516992, -0.445645902259993
-0.85210409766919, -0.45115064267881, -0.444318442404354
-0.851700126402208, -0.45024747396532, -0.443413780304552
-0.850014814916314, -0.446492546858934, -0.439659451720757
-0.849252521798108, -0.444800995420241, -0.437971699503258
-0.845452679502239, -0.436432599764288, -0.429653230608939
-0.844265298020428, -0.433839285562133, -0.427085552055643
-0.844144353908869, -0.433575713489759, -0.426824846474667
-0.843670359233231, -0.432543770482076, -0.425804584754946
-0.840606761865464, -0.425913392177613, -0.419266285740891
-0.840167001171022, -0.424967237665284, -0.418335613157922
-0.839958256147209, -0.42451860911007, -0.417894525076428
-0.839377357738146, -0.423271821759855, -0.416669362238949
-0.839329318015172, -0.42316882311791, -0.41656819376338
-0.839093264114637, -0.422662959101607, -0.41607141470827
-0.83852769737786, -0.421452589138202, -0.41488342825039
-0.838103907314874, -0.420547152075481, -0.413995326528474
-0.837352395579602, -0.418944722180052, -0.412424801736116
-0.834575490632876, -0.413058936863182, -0.406669285185415
-0.833115789113178, -0.409987279351993, -0.403673497741071
-0.833115316752163, -0.409986287836735, -0.403672531563275
-0.832242362299387, -0.408156636404864, -0.401890551088053
-0.832071623577337, -0.407799418746347, -0.401542852516263
-0.831919888485632, -0.407482135558951, -0.40123408178816
-0.830756023210635, -0.405053935226249, -0.398872801015429
-0.830697498341907, -0.404932089289748, -0.398754394855291
-0.830126470566032, -0.403744521999114, -0.397600757045786
-0.829946392009091, -0.403370495580587, -0.397237567528336
-0.829546772644897, -0.402541306068107, -0.396432657904035
-0.828694086361292, -0.400775836016337, -0.394720042661687
-0.828147304982021, -0.399646463686994, -0.39362529756504
-0.827331266517053, -0.397964902956579, -0.391996454051342
-0.827171826210433, -0.397636907394291, -0.391678900979346
-0.826654253903372, -0.396573419738523, -0.390649626390949
-0.826443679224939, -0.396141283859915, -0.390231546334976
-0.825861481780085, -0.394948152453549, -0.389077679658557
-0.825210497254666, -0.3936169003623, -0.387791019641957
-0.825193381047174, -0.393581938567047, -0.387757239940822
-0.825061140183161, -0.393311891616619, -0.387496342402939
-0.824830876906387, -0.392841970500047, -0.387042421926317
-0.824664083930448, -0.392501814174068, -0.386713910387378
-0.82411835960405, -0.391390245180191, -0.385640758156869
-0.824051843437563, -0.391254904621944, -0.385510132876292
-0.823842810255744, -0.39082978826212, -0.385099880607529
-0.823314467036026, -0.389756660543919, -0.384064629798672
-0.823083322002835, -0.389287798199594, -0.383612474793055
-0.821363853708349, -0.385811813058284, -0.380263295767253
-0.82067200415328, -0.384419089065424, -0.378922802517386
-0.819608877628668, -0.382285534422118, -0.37687079415323
-0.819390746944652, -0.381848757523441, -0.376450936000009
-0.818085066459541, -0.379241296229065, -0.373946029082377
-0.816646773120043, -0.376382840241798, -0.371202976665693
-0.815557503333801, -0.374227663356683, -0.369136798353837
-0.814985225773193, -0.373098703429261, -0.368055121984877
-0.81375048562293, -0.370670651676516, -0.365730265439401
-0.813552142966065, -0.370281611366503, -0.36535794688071
-0.813362293956545, -0.369909487461757, -0.365001865218566
-0.813342318981328, -0.369870349005906, -0.364964416713477
-0.811444195657464, -0.366163868611151, -0.361420254095742
-0.811365843545769, -0.366011407476633, -0.361274564282653
-0.810241421774047, -0.363828143472043, -0.359189061421668
-0.810002434598242, -0.363365236001878, -0.358747069982279
-0.809152932142568, -0.361722986243633, -0.357179542969273
-0.809062369529249, -0.361548205789316, -0.357012762190735
-0.808150286927461, -0.359791098671955, -0.355336571722094
-0.807675320811406, -0.358878360057456, -0.354466214962835
-0.807070057527542, -0.35771748393728, -0.353359580471697
-0.806562721103935, -0.356746372302237, -0.352434129442751
-0.80502564502222, -0.353815002964255, -0.34964212383575
-0.804391135059106, -0.352609655201892, -0.348494730186961
-0.802741269976035, -0.349488399420302, -0.345525231753499
-0.801332996899205, -0.346838918095662, -0.34300639852743
-0.801038897905704, -0.346287317914529, -0.342482201251041
-0.800910276745563, -0.3460462666179, -0.342253146621471
-0.800783014928589, -0.34580787386852, -0.34202663100338
-0.800661985719418, -0.34558125871838, -0.341811317929632
-0.800073641451908, -0.344481063974215, -0.340766154471623
-0.799356170444279, -0.343142592275816, -0.339494985945655
-0.798115194670354, -0.340835759078162, -0.337305030937159
-0.797200057491723, -0.33914131636061, -0.335697125201932
-0.796980894831746, -0.338736362998296, -0.335312936707084
-0.796631785749283, -0.338091975271656, -0.334701656493033
-0.796164355648418, -0.337230480985845, -0.333884547545516
-0.794672921357873, -0.334491571447368, -0.331287659232386
-0.794458339411527, -0.334098742615945, -0.330915309963122
-0.793822893914242, -0.332937271283455, -0.32981454676315
-0.79379697211308, -0.332889948985017, -0.329769702820207
-0.793680512643539, -0.332677398827879, -0.329568288984209
-0.79312218196405, -0.331659657305873, -0.328603975910497
-0.792538254762232, -0.330597500336039, -0.327597761156402
-0.789950773936012, -0.325918432647748, -0.323167231865964
-0.787075178729876, -0.320770870949356, -0.318296704751585
-0.786034094749761, -0.318920820272943, -0.316547054370885
-0.785875004438041, -0.318638744286446, -0.316280322486933
-0.785249332642406, -0.31753102265716, -0.315232947281851
-0.783471258203194, -0.314397188831337, -0.312270578144147
-0.782444138166605, -0.312596429246674, -0.310568809929265
-0.782433322187179, -0.312577503592384, -0.310550926362642
-0.781624508097006, -0.311164437343219, -0.309215763330263
-0.78158257936798, -0.311091301871695, -0.309146664969777
-0.781063503661395, -0.310186846950547, -0.308292176783424
-0.780985016297247, -0.310050242298287, -0.308163125289869
-0.779895798919681, -0.308158677378373, -0.306376316124814
-0.779655320783899, -0.307742106846463, -0.305982856127019
-0.778718184504989, -0.30612236389247, -0.304453106183139
-0.778196584979456, -0.30522332656377, -0.303604107179072
-0.775800184830306, -0.301115713398198, -0.299725842765135
-0.774445313416517, -0.298809931915507, -0.29754927552231
-0.774237225901831, -0.29845685699021, -0.297216013483871
-0.773396466451872, -0.297033152403625, -0.295872267891976
-0.772320556740246, -0.295217943047441, -0.294159152490234
-0.772046357610031, -0.294756529979545, -0.293723715457108
-0.771287759481686, -0.293482520755996, -0.292521476760939
